Date,Close
2023-05-10,98.1
2023-05-11,97.0
2023-05-12,98.1
2023-05-13,97.4
2023-05-14,97.3
2023-05-15,97.0
2023-05-16,97.9
2023-05-17,100.0
2023-05-18,99.2
2023-05-19,98.9
2023-05-20,98.8
2023-05-21,97.3
2023-05-22,97.6
2023-05-23,97.3
2023-05-24,95.1
2023-05-25,95.0
2023-05-26,95.2
2023-05-27,96.7
2023-05-28,97.8
2023-05-29,97.4
2023-05-30,96.3
2023-05-31,95.7
2023-06-01,95.4
2023-06-02,96.1
2023-06-03,96.2
2023-06-04,95.9
2023-06-05,88.7
2023-06-06,92.5
2023-06-07,89.2
2023-06-08,89.7
2023-06-09,91.4
2023-06-10,82.1
2023-06-11,81.5
2023-06-12,80.8
2023-06-13,80.6
2023-06-14,79.3
2023-06-15,80.4
2023-06-16,81.6
2023-06-17,81.7
2023-06-18,81.3
2023-06-19,81.5
2023-06-20,82.4
2023-06-21,85.7
2023-06-22,85.9
2023-06-23,90.4
2023-06-24,88.9
2023-06-25,88.3
2023-06-26,85.9
2023-06-27,86.6
2023-06-28,83.2
2023-06-29,84.6
2023-06-30,88.6
2023-07-01,91.1
2023-07-02,90.2
2023-07-03,90.6
2023-07-04,91.0
2023-07-05,88.7
2023-07-06,86.5
2023-07-07,86.8
2023-07-08,87.1
2023-07-09,86.3
2023-07-10,85.8
2023-07-11,85.6
2023-07-12,85.2
2023-07-13,89.6
2023-07-14,88.3
2023-07-15,92.3
2023-07-16,89.5
2023-07-17,89.7
2023-07-18,88.3
2023-07-19,89.7
2023-07-20,91.4
2023-07-21,95.0
2023-07-22,91.8
2023-07-23,92.9
2023-07-24,96.4
2023-07-25,106.0
2023-07-26,100.0
2023-07-27,100.0
2023-07-28,99.8
2023-07-29,103.0
2023-07-30,101.0
2023-07-31,102.0
2023-08-01,101.0
2023-08-02,97.7
2023-08-03,97.0
2023-08-04,97.1
2023-08-05,100.0
2023-08-06,98.6
2023-08-07,97.3
2023-08-08,99.4
2023-08-09,99.9
2023-08-10,100.0
2023-08-11,101.0
2023-08-12,103.0
2023-08-13,100.0
2023-08-14,99.9
2023-08-15,95.9
2023-08-16,91.1
2023-08-17,84.1
2023-08-18,87.1
2023-08-19,88.1
2023-08-20,87.7
2023-08-21,85.7
2023-08-22,85.8
2023-08-23,86.8
2023-08-24,85.9
2023-08-25,85.9
2023-08-26,85.5
2023-08-27,85.6
2023-08-28,85.8
2023-08-29,89.6
2023-08-30,89.5
2023-08-31,87.2
2023-09-01,87.4
2023-09-02,86.6
2023-09-03,85.9
2023-09-04,85.7
2023-09-05,87.0
2023-09-06,86.5
2023-09-07,86.4
2023-09-08,86.6
2023-09-09,86.3
2023-09-10,83.6
2023-09-11,82.4
2023-09-12,82.8
2023-09-13,83.0
2023-09-14,83.8
2023-09-15,84.2
2023-09-16,84.1
2023-09-17,82.8
2023-09-18,83.2
2023-09-19,84.0
2023-09-20,84.1
2023-09-21,83.1
2023-09-22,83.3
2023-09-23,83.2
2023-09-24,82.2
2023-09-25,82.2
2023-09-26,82.2
2023-09-27,82.6
2023-09-28,83.3
2023-09-29,84.1
2023-09-30,84.1
2023-10-01,85.4
2023-10-02,84.4
2023-10-03,83.3
2023-10-04,83.2
2023-10-05,82.7
2023-10-06,83.2
2023-10-07,83.4
2023-10-08,82.9
2023-10-09,80.2
2023-10-10,80.6
2023-10-11,80.0
2023-10-12,79.5
2023-10-13,80.3
2023-10-14,81.9
2023-10-15,80.9
2023-10-16,81.6
2023-10-17,80.5
2023-10-18,80.1
2023-10-19,80.1
2023-10-20,81.2
2023-10-21,82.6
2023-10-22,83.0
2023-10-23,90.1
2023-10-24,89.5
2023-10-25,92.1
2023-10-26,96.9
2023-10-27,92.0
2023-10-28,93.8
2023-10-29,94.0
2023-10-30,94.4
2023-10-31,92.8
2023-11-01,93.5
2023-11-02,92.4
2023-11-03,91.5
2023-11-04,92.9
2023-11-05,95.5
2023-11-06,103.0
2023-11-07,98.3
2023-11-08,100.0
2023-11-09,99.1
2023-11-10,101.0
2023-11-11,105.0
2023-11-12,104.0
2023-11-13,100.0
2023-11-14,97.8
2023-11-15,102.0
2023-11-16,108.0
2023-11-17,117.0
2023-11-18,108.0
2023-11-19,108.0
2023-11-20,104.0
2023-11-21,97.3
2023-11-22,102.0
2023-11-23,102.0
2023-11-24,104.0
2023-11-25,106.0
2023-11-26,106.0
2023-11-27,106.0
2023-11-28,108.0
2023-11-29,108.0
2023-11-30,112.0
2023-12-01,113.0
2023-12-02,114.0
2023-12-03,115.0
2023-12-04,124.0
2023-12-05,128.0
2023-12-06,131.0
2023-12-07,131.0
2023-12-08,138.0
2023-12-09,135.0
2023-12-10,140.0
2023-12-11,130.0
2023-12-12,131.0
2023-12-13,134.0
2023-12-14,134.0
2023-12-15,129.0
2023-12-16,134.0
2023-12-17,128.0
2023-12-18,125.0
2023-12-19,124.0
2023-12-20,125.0
2023-12-21,130.0
2023-12-22,128.0
2023-12-23,126.0
2023-12-24,124.0
2023-12-25,126.0
2023-12-26,123.0
2023-12-27,125.0
2023-12-28,122.0
2023-12-29,122.0
2023-12-30,122.0
2023-12-31,121.0
2024-01-01,123.0
2024-01-02,123.0
2024-01-03,113.0
2024-01-04,114.0
2024-01-05,112.0
2024-01-06,109.0
2024-01-07,106.0
2024-01-08,109.0
2024-01-09,107.0
2024-01-10,114.0
2024-01-11,117.0
2024-01-12,111.0
2024-01-13,112.0
2024-01-14,110.0
2024-01-15,112.0
2024-01-16,111.0
2024-01-17,111.0
2024-01-18,108.0
2024-01-19,109.0
2024-01-20,121.0
2024-01-21,118.0
2024-01-22,112.0
2024-01-23,108.0
2024-01-24,109.0
2024-01-25,107.0
2024-01-26,109.0
2024-01-27,110.0
2024-01-28,108.4
2024-01-29,111.3
2024-01-30,109.4
2024-01-31,108.7
2024-02-01,109.0
2024-02-02,108.9
2024-02-03,108.4
2024-02-04,108.1
2024-02-05,108.0
2024-02-06,107.6
2024-02-07,108.9
2024-02-08,109.4
2024-02-09,110.1
2024-02-10,110.0
2024-02-11,109.9
2024-02-12,110.2
2024-02-13,109.8
2024-02-14,115.9
2024-02-15,117.3
2024-02-16,118.9
2024-02-17,115.7
2024-02-18,117.5
2024-02-19,123.9
2024-02-20,119.1
2024-02-21,118.1
2024-02-22,117.2
2024-02-23,117.9
2024-02-24,118.8
2024-02-25,118.5
2024-02-26,122.2
2024-02-27,134.3
2024-02-28,162.6
2024-02-29,164.9
2024-03-01,195.3
2024-03-02,198.1
2024-03-03,214.0
2024-03-04,254.8
2024-03-05,220.1
2024-03-06,223.4
2024-03-07,221.6
2024-03-08,232.7
2024-03-09,250.9
2024-03-10,240.5
2024-03-11,253.3
2024-03-12,238.4
2024-03-13,240.7
2024-03-14,254.3
2024-03-15,238.2
2024-03-16,210.7
2024-03-17,225.6
2024-03-18,210.3
2024-03-19,192.2
2024-03-20,223.6
2024-03-21,226.5
2024-03-22,225.0
2024-03-23,235.8
2024-03-24,253.8
2024-03-25,249.5
2024-03-26,260.5
2024-03-27,273.8
2024-03-28,313.7
2024-03-29,304.0
2024-03-30,286.2
2024-03-31,311.5
2024-04-01,294.9
2024-04-02,268.3
2024-04-03,256.9
2024-04-04,262.0
2024-04-05,257.0
2024-04-06,267.1
2024-04-07,284.8
2024-04-08,288.5
2024-04-09,272.0
2024-04-10,284.5
2024-04-11,278.1
2024-04-12,259.0
2024-04-13,231.3
2024-04-14,244.6
2024-04-15,245.2
2024-04-16,233.7
2024-04-17,220.5
2024-04-18,223.9
2024-04-19,228.8
2024-04-20,237.2
2024-04-21,231.4
2024-04-22,234.3
2024-04-23,231.1
2024-04-24,220.5
2024-04-25,217.5
2024-04-26,213.3
2024-04-27,213.0
2024-04-28,210.3
2024-04-29,205.5
2024-04-30,191.3
2024-05-01,186.2
2024-05-02,185.6
2024-05-03,207.4
2024-05-04,226.7
2024-05-05,226.4
2024-05-06,219.7
2024-05-07,210.8
2024-05-08,201.0
2024-05-09,212.5
2024-05-10,203.4
2024-05-11,201.9
2024-05-12,199.1
2024-05-13,207.7
2024-05-14,204.3
2024-05-15,216.2
2024-05-16,208.7
2024-05-17,215.1
2024-05-18,212.8
2024-05-19,207.2
2024-05-20,225.4
2024-05-21,234.8
2024-05-22,229.1
2024-05-23,223.3
2024-05-24,227.8
2024-05-25,241.5
2024-05-26,231.7
2024-05-27,233.9
2024-05-28,228.4
2024-05-29,227.7
2024-05-30,221.9
2024-05-31,222.3
2024-06-01,224.1
2024-06-02,220.4
2024-06-03,221.0
2024-06-04,223.4
2024-06-05,225.7
2024-06-06,222.6
2024-06-07,209.9
2024-06-08,206.9
2024-06-09,206.5
2024-06-10,202.9
2024-06-11,195.9
2024-06-12,205.5
2024-06-13,199.9
2024-06-14,192.5
2024-06-15,193.8
2024-06-16,193.4
2024-06-17,181.6
2024-06-18,172.0
2024-06-19,172.9
2024-06-20,176.2
2024-06-21,175.0
2024-06-22,175.2
2024-06-23,172.4
2024-06-24,168.6
2024-06-25,178.4
2024-06-26,173.5
2024-06-27,178.9
2024-06-28,173.6
2024-06-29,171.6
2024-06-30,174.5
2024-07-01,173.5
2024-07-02,175.8
2024-07-03,168.0
2024-07-04,150.5
2024-07-05,150.9
2024-07-06,161.1
2024-07-07,148.1
2024-07-08,152.8
2024-07-09,152.2
2024-07-10,153.2
2024-07-11,150.9
2024-07-12,151.7
2024-07-13,157.4
2024-07-14,161.9
2024-07-15,175.5
2024-07-16,174.3
2024-07-17,170.0
2024-07-18,168.0
2024-07-19,174.8
2024-07-20,188.0
2024-07-21,195.5
2024-07-22,192.6
2024-07-23,182.5
2024-07-24,179.0
2024-07-25,176.0
2024-07-26,187.3
2024-07-27,182.8
2024-07-28,181.8
2024-07-29,179.9
2024-07-30,176.0
2024-07-31,170.6
2024-08-01,167.2
2024-08-02,157.3
2024-08-03,153.1
2024-08-04,145.8
